Eno,Name,25-Apr,Last Rnk,MLBAM id,Team,Proj IP,Injury,Stuff+,Location+,Pitching+,ppERA,ppK%,ppBB%,Arsenal,K-BB,ERA,Proj OOPSY $,Blurb,,
104,Bubba Chandler,,,696149,PIT,70,,#N/A,#N/A,#N/A,4.10,23.3%,10.3%,,#N/A,#N/A,3.37,,,
105,Max Scherzer,117,62,453286,TOR,82,64%,93,122,115,3.99,24.2%,6.9%,54.5,9.1%,6.00,9.14,,,
106,Justin Verlander,74,66,434378,SFG,128,62%,106,91,97,4.10,20.6%,7.3%,67.75,8.9%,4.33,8.44,,,
107,Frankie Montas Jr.,139,107,593423,NYM,77,65%,#N/A,#N/A,#N/A,3.95,22.5%,9.9%,#N/A,#N/A,#N/A,6.51,,,
108,Andre Pallante,156,176,669467,STL,165,87%,92,102,96,4.18,17.5%,9.1%,49.5,7.2%,4.23,-2.10,,,
109,Sawyer Gipson-Long,,,687830,DET,45,,#N/A,#N/A,#N/A,4.11,21.1%,7.0%,#N/A,#N/A,#N/A,#N/A,,,
110,Slade Cecconi,165,151,677944,CLE,79,81%,96,105,97,4.26,20.2%,5.8%,63,17.9%,5.28,2.20,,,
111,José Berríos,105,92,621244,TOR,191,96%,91,95,89,4.32,20.5%,7.3%,68.5,12.6%,3.86,7.26,,,
112,Spencer Arrighetti,92,67,681293,HOU,65,87%,102,100,105,4.33,23.8%,10.1%,90.25,7.7%,5.59,1.70,,,
113,Yu Darvish,88,73,506433,SDP,53,57%,#N/A,#N/A,#N/A,3.98,22.7%,7.3%,91.75,#N/A,#N/A,4.93,,,
114,Brayan Bello,95,103,678394,BOS,137,89%,90,100,93,4.38,20.6%,8.4%,60,3.9%,3.83,2.18,,,
115,Ryan Yarbrough,,,642232,NYY,95,,102,106,102,4.31,19.1%,7.1%,,,,1.80,,,
115,Walker Buehler,124,87,621111,BOS,133,58%,99,99,98,4.65,20.1%,8.1%,77.5,13.6%,4.44,-2.59,,,
116,Chris Paddack,131,126,663978,MIN,161,58%,95,113,108,4.42,20.2%,7.1%,43.5,11.2%,3.58,0.00,,,
117,Colton Gordon,,,676467,HOU,101,,97,111,101,4.44,20.5%,6.8%,,19.5%,5.95,-0.03,,,
118,J.T. Ginn,93,,669372,ATH,101,,100,102,107,4.21,20.6%,8.2%,,19.8%,5.60,0.55,,,
119,Cade Povich,128,111,700249,BAL,124,85%,97,103,99,4.38,22.1%,9.2%,71.25,14.6%,5.29,0.57,,,
120,Landon Knack,163,185,689017,LAD,60,80%,96,103,97,4.47,21.5%,7.9%,72.25,13.8%,4.58,-1.55,,,
121,Andrew Heaney,98,155,571760,PIT,161,77%,95,101,93,4.47,20.4%,7.7%,40.5,8.3%,3.39,1.28,,,
122,Brady Singer,76,177,663903,CIN,164,94%,95,98,93,4.38,21.3%,7.3%,51,10.4%,4.60,5.75,,,
123,Tony Gonsolin,126,123,664062,LAD,120,,95,93,87,4.35,22.1%,8.7%,#N/A,12.6%,5.23,0.82,,,
124,Colin Rea,99,156,607067,CHC,148,81%,96,100,94,4.29,19.7%,6.8%,76.5,12.3%,3.96,2.00,,,
125,Ryan Gusto,106,,687473,HOU,121,,101,95,96,4.67,19.6%,8.9%,,12.9%,4.62,-1.58,,,
126,Nick Martinez,107,117,607259,CIN,173,88%,93,108,102,4.24,19.9%,6.3%,82.5,11.5%,3.89,4.79,,,
127,Aaron Civale,119,79,650644,MIL,104,86%,93,100,92,4.26,21.6%,7.4%,77.25,10.0%,6.00,4.20,,,
128,Jack Leiter,73,118,683004,TEX,134,75%,110,90,101,4.13,23.6%,10.6%,67.75,6.7%,3.66,2.58,,,
129,Kutter Crawford,140,114,676710,BOS,76,92%,#N/A,#N/A,#N/A,4.33,23.1%,6.7%,85.25,#N/A,#N/A,6.51,,,
130,Logan Henderson,112,,701656,MIL,59,,94,111,102,3.76,26.5%,8.3%,,28.4%,1.71,#N/A,,,
131,David Festa,113,129,701581,MIN,86,80%,99,102,105,3.88,24.9%,8.6%,29,17.9%,1.38,5.18,,,
132,Andrew Painter,114,147,691725,PHI,60,,#N/A,#N/A,#N/A,4.01,23.8%,8.0%,,#N/A,#N/A,3.25,,,
133,Joe Boyle,116,121,671212,TBR,44,74%,107,74,82,4.14,25.7%,14.6%,69.75,27.8%,0.00,-1.68,,,
134,Mike Soroka,146,125,647336,WSN,132,,97,108,101,4.31,21.7%,8.4%,,16.8%,5.81,0.75,,,
135,Logan Evans,,,688138,SEA,57,,97,103,99,4.28,18.5%,8.0%,,10.4%,2.83,#N/A,,,
136,Dean Kremer,130,113,665152,BAL,167,88%,98,101,97,4.36,20.5%,7.7%,72.75,11.3%,4.70,4.76,,,
137,Davis Martin,141,122,663436,CHW,154,79%,97,100,99,4.40,19.0%,7.7%,73,8.5%,3.67,2.45,,,
138,Stephen Kolek,,,663568,SDP,116,,96,99,98,4.12,19.0%,7.5%,,10.9%,4.11,1.31,,,
139,Tomoyuki Sugano,150,134,608372,BAL,1,,92,105,101,4.58,16.6%,5.8%,#N/A,9.8%,3.23,0.22,,,
140,Jonathan Cannon,203,200,686563,CHW,155,87%,99,102,101,4.76,17.1%,7.9%,62.25,10.6%,4.15,-3.42,,,
141,Richard Fitts,,,690916,BOS,81,,98,103,101,4.73,18.4%,7.2%,,11.0%,2.70,-2.86,,,
142,Brandon Woodruff,122,144,605540,MIL,105,,#N/A,#N/A,#N/A,3.85,23.8%,7.0%,#N/A,#N/A,#N/A,15.88,,,
143,Bailey Falter,,,663559,PIT,165,88%,95,97,94,4.60,17.2%,7.3%,58.5,7.4%,3.14,-1.42,,,
144,Lucas Giolito,138,112,608337,BOS,137,,88,105,95,4.83,21.2%,8.9%,#N/A,11.8%,4.78,-2.02,,,
145,Jake Irvin,147,158,663623,WSN,182,94%,94,105,96,4.65,18.0%,7.5%,71.5,8.9%,3.93,1.00,,,
